 Absolute load value (%), Absolute throttle position (%), Ambient air temperature (F), Barometric pressure (inHg), Calculated load value (%), Commanded fuel rail pressure A (inHg), Engine coolant temperature (F), Engine RPM (RPM), Fuel level input (%), Fuel rail pressure (psi), Fuel/Air commanded equivalence ratio, Ignition timing advance for #1 cylinder (deg), Intake air temperature (F), Intake manifold absolute pressure (inHg), Long term fuel % trim - Bank 1 (%), Mass air flow rate (lb/min), Vehicle speed (MPH), Fuel rate (gal/hr), Instant fuel economy (MPG), Total fuel economy (MPG)
59.60784,12.94118,80.6,30.1207,10.19608,885.903,188.6,2327.25,60.39216,691.83,0.990152,36.5,80.6,5.90602,7.8125,5.572476,23.6121,3.732462,6.326147,30.32074
9.803922,12.54902,80.6,30.1207,11.37255,885.903,188.6,1363.75,60.39216,439.4644,0.994849,30.5,80.6,6.496622,5.46875,0.429975,21.74799,0.2883978,75.40969,30.33855
10.58823,10.98039,80.6,30.1207,14.90196,885.903,188.6,923.75,60.39216,429.3117,1.000003,16.5,80.6,8.268428,5.46875,0.240786,17.39839,0.1607403,108.2392,30.3483
10.98039,11.76471,78.8,30.1207,43.52941,1461.74,190.4,1049.25,81.17647,1345.95,0.9052705,2,80.6,28.6442,7.8125,0.280476,13.04879,0.1862708,70.05281,30.35213
80,37.64706,78.8,30.1207,94.5098,3463.881,190.4,1674.5,81.17647,1762.208,0.99369,3,80.6,30.1207,7.8125,3.536379,13.67017,2.594365,5.269176,30.27273
76.86275,23.92157,78.8,30.1207,63.52941,2282.677,190.4,1229,81.17647,1003.661,0.993507,-4,80.6,12.10734,5.46875,3.454353,16.15565,2.308695,6.997743,30.24461
15.29412,9.411765,78.8,30.1207,14.90196,885.903,190.4,1167,81.17647,851.3715,1.000003,35,80.6,6.791923,5.46875,0.078057,17.39839,0.0521785,333.4399,30.2535
10.19608,10.98039,78.8,30.1207,13.72549,885.903,190.4,999.25,81.17647,865.8753,1.000003,32.5,80.6,6.201321,5.46875,0.21168,16.15565,0.1405818,114.92,30.25997
10.98039,10.58823,78.8,30.1207,17.64706,885.903,190.4,961,81.17647,612.0593,1.000003,17,80.6,22.44288,5.46875,0.201096,13.67017,0.1335527,102.3579,30.26641
40,22.35294,78.8,30.1207,47.84314,2040.53,190.4,1247,81.17647,1163.203,0.9017325,18,80.6,28.9395,8.59375,1.623321,13.04879,1.078086,12.10366,30.25147
62.35294,32.15686,78.8,30.1207,75.29412,3077.036,190.4,1494.75,81.17647,1327.095,0.899628,-4.5,80.6,11.81204,8.59375,2.173689,14.29154,1.600923,8.927063,30.23293
16.47059,9.411765,78.8,30.1207,12.54902,885.903,190.4,1088.75,81.17647,746.9443,1.000003,36,80.6,7.087224,5.46875,0.080703,16.77702,0.05957683,281.6031,30.24831
10.58823,10.98039,78.8,30.1207,14.90196,885.903,190.4,919.5,81.17647,757.097,1.000003,29,80.6,6.791923,5.46875,0.214326,14.29154,0.142339,100.4049,30.25483
11.37255,10.58823,78.8,30.1207,16.86275,885.903,190.4,805.25,74.5098,765.7993,1.000003,28,80.6,6.496622,5.46875,0.166698,12.42742,0.1107081,112.2539,30.25976
13.33333,13.72549,78.8,30.1207,21.17647,885.903,190.4,728.5,74.5098,464.1208,0.905667,6,80.6,10.33554,5.46875,0.808353,11.18468,0.5368466,20.83404,30.25677
15.68627,11.76471,78.8,30.1207,26.27451,885.903,190.4,656.75,74.5098,443.8155,0.905484,4,82.4,12.69794,5.46875,0.298998,10.56331,0.2192555,48.17809,30.25852
21.17647,9.803922,78.8,30.1207,30.58824,885.903,190.4,658,74.5098,449.617,0.905667,0.5,82.4,13.28854,5.46875,0.361179,7.456454,0.2649063,28.14751,30.25904
23.13725,13.33333,78.8,30.1207,40,1148.721,190.4,658.25,74.5098,593.2043,0.9055755,-5.5,82.4,14.76505,5.46875,0.46305,4.97097,0.3395549,14.63966,30.25591
24.70588,11.76471,78.8,30.1207,36.47059,1446.975,190.4,861.25,74.5098,712.1353,0.9056365,0,82.4,17.42276,5.46875,0.411453,4.349598,0.3017493,14.41461,30.2532
29.80392,20.39216,78.8,30.1207,59.21569,2681.333,190.4,1615,74.5098,1435.874,0.9035625,22.5,82.4,27.16769,8.59375,0.739557,4.97097,0.542336,9.165849,30.24383
59.60784,27.45098,78.8,30.1207,70.58823,3519.988,190.4,1888.5,74.5098,1971.063,0.98698,12.5,82.4,26.87239,8.59375,2.168397,8.699197,1.593791,5.45818,30.20038
65.88235,29.01961,78.8,30.1207,73.33334,4033.812,190.4,1980,74.5098,1921.75,0.9959165,11.5,82.4,27.46299,7.8125,3.240027,12.42742,2.180173,5.700201,30.153
70.19608,29.80392,78.8,30.1207,74.90196,4125.355,190.4,2078.5,74.5098,1891.292,0.996008,14,82.4,26.57709,7.8125,3.447738,16.77702,2.299122,7.297143,30.11413
63.52941,28.62745,78.8,30.1207,67.45098,3791.665,190.4,2323.5,78.03922,1772.361,0.9934155,13.5,78.8,25.39589,7.8125,3.478167,19.88388,2.319201,8.573592,30.08045
43.13726,25.88235,78.8,30.1207,47.84314,2202.946,190.4,1845,78.03922,1013.814,0.993568,26.5,78.8,23.91938,7.8125,2.335095,22.99073,1.561077,14.72748,30.05928
25.09804,13.33333,78.8,30.1207,27.84314,1169.392,190.4,1722,78.03922,519.2351,0.989725,25,78.8,9.154331,8.59375,0.474957,24.23348,0.3174734,76.3323,30.06896
10.19608,11.76471,78.8,30.1207,12.94118,885.903,190.4,1162.75,78.03922,429.3117,0.9954285,37,78.8,7.973127,8.59375,0.334719,24.23348,0.2246035,107.8945,30.08895
16.47059,18.03922,78.8,30.1207,28.23529,1021.741,190.4,1157.5,78.03922,498.9298,0.995581,33,80.6,14.76505,8.59375,0.33075,24.23348,0.2206686,109.8184,30.10146
21.96078,13.33333,78.8,30.1207,26.66667,930.1981,190.4,1151,78.03922,449.617,0.992714,15,80.6,9.154331,8.59375,0.59535,23.6121,0.3971426,59.45499,30.11439
11.76471,10.58823,78.8,30.1207,14.90196,885.903,190.4,1101.75,78.03922,478.6245,1.000003,35.5,80.6,6.496622,5.46875,0.082026,23.6121,0.05487544,430.2854,30.12619
10.58823,10.98039,78.8,30.1207,14.90196,885.903,190.4,952.75,78.03922,488.7772,1.000003,32.5,80.6,6.496622,5.46875,0.206388,21.74799,0.1370672,158.6666,30.14247
10.98039,10.98039,78.8,30.1207,14.5098,885.903,190.4,1114,78.03922,493.1283,1.000003,36.5,82.4,6.201321,5.46875,0.18522,18.64114,0.123009,151.5428,30.15212
10.98039,10.58823,78.8,30.1207,18.43137,885.903,190.4,798.25,78.03922,429.3117,1.000003,7,82.4,9.449632,5.46875,0.213003,14.29154,0.1414604,101.0285,30.15997
16.07843,12.94118,78.8,30.1207,29.01961,885.903,190.4,666.25,89.41177,488.7772,0.905545,-5,82.4,13.28854,5.46875,0.296352,9.941939,0.1968145,50.51427,30.16348
18.43137,12.15686,78.8,30.1207,36.07843,1063.084,190.4,636.75,89.41177,552.5938,0.905667,-1,82.4,14.46975,5.46875,0.165375,6.835083,0.121286,56.35511,30.1658
24.31373,12.54902,78.8,30.1207,39.60784,1119.191,190.4,657.5,89.41177,552.5938,0.9056365,-3,84.2,13.87915,5.46875,0.404838,4.349598,0.296868,14.65162,30.16095
21.96078,12.54902,78.8,30.1207,36.47059,1042.412,190.4,658,89.41177,527.9374,0.9056365,0,84.2,13.28854,5.46875,0.353241,3.106856,0.2590406,11.9937,30.15784
21.56863,12.54902,78.8,30.1207,36.86274,1042.412,190.4,609.5,89.41177,527.9374,0.905606,-0.5,84.2,14.46975,5.46875,0.38367,3.106856,0.281355,11.04248,30.15464
23.92157,12.54902,78.8,30.1207,40.78431,1145.768,190.4,572.25,89.41177,583.0517,0.905179,-3,84.2,15.06035,5.46875,0.363825,1.864114,0.2668111,6.986641,30.14908
24.70588,12.15686,78.8,30.1207,41.17647,1139.862,190.4,566.25,89.41177,552.5938,0.905179,-4.5,84.2,14.76505,5.46875,0.337365,0.6213712,0.2475234,2.510354,30.14436
31.37255,11.76471,78.8,30.1207,46.66667,1414.492,190.4,818,89.41177,671.5247,0.905179,3.5,84.2,15.94625,5.46875,0.302967,0,0.2222857,0,30.13868
32.54902,16.86275,78.8,30.1207,46.66667,1715.699,190.4,1135.5,89.41177,870.2264,0.902983,28,84.2,23.62408,8.59375,0.795123,1.242742,0.5833786,2.13025,30.12839
30.98039,18.43137,78.8,30.1207,39.21569,1621.203,190.4,1336,89.41177,796.2572,0.895541,32.5,84.2,26.87239,8.59375,1.051785,3.728227,0.7735673,4.819526,30.11559
35.68628,19.21569,78.8,30.1207,37.2549,1550.33,190.4,1575.25,63.92157,632.3646,0.985943,27,82.4,13.58385,8.59375,1.15101,6.213712,0.8535801,7.279588,30.10261
20,15.29412,78.8,30.1207,23.52941,939.0572,190.4,1359.75,63.92157,498.9298,0.992836,13,82.4,15.65095,8.59375,0.680022,8.699197,0.4580594,18.99142,30.09793
21.17647,9.411765,78.8,30.1207,22.7451,885.903,190.4,994.75,63.92157,474.2734,0.996069,18,82.4,8.268428,5.46875,0.583443,9.320568,0.3902758,23.88201,30.0963
11.76471,11.76471,78.8,30.1207,25.88235,1736.37,190.4,1010.25,63.92157,757.097,0.995825,-7,82.4,11.81204,5.46875,0.218295,9.320568,0.1455476,64.03794,30.10028
35.29412,19.21569,78.8,30.1207,40.78431,1774.759,190.4,1419,63.92157,851.3715,0.9900605,37.5,82.4,25.39589,8.59375,1.489698,9.320568,0.9934955,9.381591,30.08347
35.29412,18.43137,78.8,30.1207,40.39216,1727.511,190.4,1435.75,63.92157,851.3715,0.98881,32,82.4,23.03348,8.59375,1.135134,10.56331,0.7614407,13.8728,30.07324
32.54902,17.64706,78.8,30.1207,39.60784,1653.686,190.4,1357,63.92157,800.6083,0.987651,25.5,82.4,19.78517,8.59375,1.352106,11.18468,0.9081311,12.31615,30.06377
17.64706,9.411765,78.8,30.1207,14.90196,885.903,190.4,1058.75,63.92157,439.4644,0.9954285,24.5,82.4,7.973127,8.59375,0.093933,12.42742,0.06316338,196.7505,30.07259
10.98039,10.98039,78.8,30.1207,18.03922,885.903,190.4,697.75,63.92157,419.1591,0.9953065,13,84.2,11.51674,5.46875,0.230202,10.56331,0.1535853,68.77813,30.07767
21.96078,12.15686,78.8,30.1207,36.86274,1057.178,190.4,651.5,63.92157,538.09,0.9960995,-1,84.2,12.69794,5.46875,0.38367,5.592341,0.2560069,21.84449,30.0755
23.52941,13.33333,78.8,30.1207,40.78431,1252.076,190.4,882,74.5098,593.2043,0.9963435,15,84.2,16.24155,8.59375,0.550368,4.97097,0.3669451,13.5469,30.0703
25.4902,14.11765,78.8,30.1207,33.72549,1175.298,190.4,999.5,74.5098,552.5938,0.995642,29.5,84.2,17.12746,8.59375,0.563598,5.592341,0.3756739,14.88616,30.06571
29.01961,14.90196,78.8,30.1207,36.47059,1373.15,190.4,1162.5,74.5098,691.83,0.990518,33,84.2,20.96637,8.59375,0.710451,6.835083,0.4738944,14.42322,30.0593
29.41176,16.47059,78.8,30.1207,36.86274,1503.082,190.4,1267,74.5098,757.097,0.989725,37.5,84.2,24.80528,8.59375,0.805707,7.456454,0.5402135,13.80279,30.05383
32.54902,17.2549,78.8,30.1207,39.21569,1703.887,190.4,1382.75,74.5098,925.3408,0.9885355,36.5,84.2,26.57709,8.59375,0.969759,8.699197,0.6507287,13.36839,30.04793
38.43137,21.17647,78.8,30.1207,45.09804,1957.846,190.4,1569.5,74.5098,949.9972,0.98698,35.5,84.2,27.16769,8.59375,1.337553,10.56331,0.8986062,11.75522,30.03388
