Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Fuel rate (gal/hr),Instant fuel economy (MPG)
25.88235,12.54902,62.6,29.8254,41.96078,1219.593,152.6,589,89.41177,622.2119,0.905179,71.6,15.35565,8.59375,0.382347,0,0.2805265,0
25.4902,12.54902,62.6,29.8254,41.17647,1201.875,154.4,586.25,81.17647,597.5555,0.9952455,71.6,15.35565,8.59375,0.373086,0,0.2737317,0
25.09804,12.54902,62.6,29.8254,41.56863,1216.64,154.4,589,81.17647,617.8608,0.9952455,71.6,15.06035,8.59375,0.387639,0,0.2586711,0
25.4902,12.15686,62.6,29.8254,41.56863,1204.828,154.4,584.5,81.17647,612.0593,0.9952455,71.6,15.35565,8.59375,0.336042,0,0.2242405,0
25.4902,12.15686,62.6,29.8254,41.96078,1204.828,154.4,585.75,81.17647,612.0593,0.9952455,71.6,15.35565,8.59375,0.361179,0,0.2410144,0
25.4902,12.15686,62.6,29.8254,41.17647,1210.734,154.4,578,81.17647,617.8608,0.9952455,71.6,15.35565,8.59375,0.349272,0,0.2330688,0
25.4902,12.15686,62.6,29.8254,42.35294,1240.264,154.4,594,81.17647,597.5555,0.9952455,71.6,15.35565,8.59375,0.363825,0,0.24278,0
25.88235,12.15686,62.6,29.8254,41.96078,1219.593,154.4,587.75,81.17647,583.0517,0.9952455,71.6,15.35565,8.59375,0.329427,0,0.2198263,0
25.4902,12.15686,62.6,29.8254,41.56863,1201.875,154.4,582.25,81.17647,603.357,0.9952455,71.6,15.35565,8.59375,0.346626,0,0.2313032,0
25.4902,12.15686,62.6,29.8254,41.17647,1222.546,154.4,587.5,81.17647,622.2119,0.9952455,71.6,15.35565,8.59375,0.322812,0,0.2154121,0
25.09804,12.15686,62.6,29.8254,40.78431,1172.345,154.4,585.5,81.17647,593.2043,0.9952455,71.6,15.35565,8.59375,0.33075,0,0.2207091,0
24.70588,12.15686,62.6,29.8254,40.39216,1184.157,154.4,585,81.17647,607.7081,0.9952455,71.6,15.35565,8.59375,0.313551,0,0.2092323,0
25.09804,12.15686,62.6,29.8254,40.39216,1178.251,154.4,586.25,81.17647,568.5479,0.9952455,71.6,15.06035,8.59375,0.336042,0,0.2242405,0
24.31373,12.15686,62.6,29.8254,40.39216,1169.392,154.4,585.5,81.17647,583.0517,0.9952455,71.6,14.76505,8.59375,0.308259,0,0.2057009,0
24.31373,12.15686,62.6,29.8254,39.60784,1163.486,154.4,582.75,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.322812,0,0.2154121,0
24.31373,12.15686,62.6,29.8254,40,1160.533,154.4,582.75,81.17647,593.2043,0.9952455,71.6,15.06035,8.59375,0.329427,0,0.2198263,0
24.31373,12.15686,62.6,29.8254,39.60784,1154.627,154.4,576.25,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.306936,0,0.2048181,0
25.09804,12.15686,62.6,29.8254,40.39216,1190.063,154.4,594.75,81.17647,572.899,0.9952455,71.6,15.35565,8.59375,0.437913,0,0.2922189,0
24.70588,12.15686,62.6,29.8254,40.39216,1175.298,154.4,584.75,81.17647,562.7464,0.9952455,71.6,15.06035,8.59375,0.309582,0,0.2065838,0
24.70588,12.15686,62.6,29.8254,40,1166.439,154.4,587.25,81.17647,587.4028,0.9952455,71.6,14.76505,8.59375,0.338688,0,0.2260062,0
25.09804,12.15686,62.6,29.8254,40.78431,1181.204,154.4,585.75,81.17647,568.5479,0.9952455,71.6,15.06035,8.59375,0.314874,0,0.2101151,0
24.70588,12.15686,62.6,29.8254,40.39216,1172.345,154.4,594.5,81.17647,597.5555,0.9952455,71.6,15.06035,8.59375,0.325458,0,0.2171778,0
24.31373,12.15686,62.6,29.8254,39.60784,1154.627,154.4,575.25,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.306936,0,0.2048181,0
24.31373,12.15686,62.6,29.8254,39.60784,1160.533,154.4,589.25,81.17647,593.2043,0.9952455,71.6,15.06035,8.59375,0.338688,0,0.2260062,0
24.70588,12.15686,62.6,29.8254,40,1160.533,154.4,587.75,81.17647,593.2043,0.9952455,71.6,14.76505,8.59375,0.313551,0,0.2092323,0
24.31373,12.15686,62.6,29.8254,40,1160.533,154.4,583,81.17647,558.3953,0.9952455,71.6,14.46975,8.59375,0.328104,0,0.2189435,0
24.31373,12.15686,62.6,29.8254,39.60784,1160.533,154.4,584.75,81.17647,552.5938,0.9952455,71.6,14.76505,8.59375,0.328104,0,0.2189435,0
24.31373,12.15686,62.6,29.8254,40,1145.768,154.4,591.25,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.313551,0,0.2092323,0
24.31373,12.15686,62.6,29.8254,40,1154.627,154.4,583,81.17647,552.5938,0.9952455,71.6,14.46975,8.59375,0.334719,0,0.2233576,0
24.31373,12.15686,62.6,29.8254,39.60784,1142.815,154.4,580.5,81.17647,548.2427,0.9952455,71.6,15.06035,8.59375,0.298998,0,0.199521,0
24.31373,12.15686,62.6,29.8254,39.60784,1145.768,154.4,590,81.17647,548.2427,0.9952455,71.6,15.06035,8.59375,0.322812,0,0.2154121,0
24.31373,12.15686,62.6,29.8254,39.60784,1139.862,154.4,581.25,81.17647,583.0517,0.9952455,71.6,14.46975,8.59375,0.33075,0,0.2207091,0
24.31373,12.15686,62.6,29.8254,39.21569,1139.862,154.4,578.75,81.17647,552.5938,0.9952455,71.6,14.76505,8.59375,0.30429,0,0.2030524,0
24.31373,12.15686,62.6,29.8254,39.60784,1151.674,154.4,589,81.17647,562.7464,0.9952455,71.6,14.76505,8.59375,0.333396,0,0.2224748,0
24.31373,12.15686,62.6,29.8254,39.60784,1157.58,154.4,574.75,81.17647,587.4028,0.9952455,71.6,14.76505,8.59375,0.31752,0,0.2118808,0
24.31373,12.15686,62.6,29.8254,40,1151.674,154.4,579,81.17647,552.5938,0.9952455,71.6,15.06035,8.59375,0.322812,0,0.2154121,0
24.31373,12.15686,62.6,29.8254,40,1151.674,154.4,582.25,81.17647,558.3953,0.9952455,71.6,14.76505,8.59375,0.329427,0,0.2198263,0
24.31373,12.15686,62.6,29.8254,40,1154.627,154.4,592,81.17647,552.5938,0.9952455,71.6,15.35565,8.59375,0.309582,0,0.2065838,0
24.70588,12.15686,62.6,29.8254,40.39216,1166.439,154.4,584.5,81.17647,593.2043,0.9952455,71.6,14.76505,8.59375,0.341334,0,0.2277718,0
24.70588,12.15686,62.6,29.8254,40,1166.439,154.4,592,81.17647,593.2043,0.9952455,71.6,14.76505,8.59375,0.322812,0,0.2154121,0
24.31373,12.15686,62.6,29.8254,39.21569,1154.627,154.4,576.5,81.17647,583.0517,0.9952455,71.6,14.46975,8.59375,0.336042,0,0.2242405,0
24.31373,12.15686,62.6,29.8254,39.60784,1151.674,156.2,576.75,81.17647,552.5938,0.9952455,73.4,15.06035,8.59375,0.314874,0,0.2101151,0
24.31373,12.15686,62.6,29.8254,39.60784,1142.815,156.2,573.75,81.17647,552.5938,0.9952455,73.4,14.76505,8.59375,0.301644,0,0.2012867,0
24.70588,12.15686,62.6,29.8254,39.60784,1148.721,156.2,588.5,81.17647,583.0517,0.9952455,73.4,15.06035,8.59375,0.334719,0,0.2233576,0
23.92157,12.15686,62.6,29.8254,39.21569,1139.862,156.2,579,81.17647,543.8915,0.9952455,73.4,14.76505,8.59375,0.296352,0,0.1977554,0
24.31373,12.15686,62.6,29.8254,39.21569,1154.627,156.2,645.25,81.17647,543.8915,0.9952455,73.4,15.06035,7.8125,0.308259,0,0.2057009,0
40.78431,19.60784,62.6,29.8254,52.94118,2202.946,156.2,1337.75,81.17647,1177.706,0.9920125,73.4,27.16769,7.8125,1.333584,0,0.8898993,0
50.98039,23.92157,62.6,29.8254,57.2549,2696.098,156.2,1728.5,81.17647,1430.072,0.9921955,73.4,27.16769,7.8125,1.721223,4.349598,1.152314,3.774666
56.86274,27.05882,62.6,29.8254,63.52941,3785.759,156.2,2268,81.17647,1841.979,0.9919515,73.4,25.39589,7.8125,2.693628,8.699197,1.802981,4.824898
73.72549,36.47059,62.6,29.8254,96.47059,3587.907,156.2,1698,81.17647,1778.163,0.9954285,69.8,29.2348,7.8125,3.74409,13.04879,2.506724,5.205517
90.58823,51.37255,62.6,29.8254,98.82353,4335.019,156.2,1989.75,81.17647,2145.108,0.9940255,69.8,28.9395,7.8125,4.417497,17.39839,2.947249,5.903265
90.58823,36.07843,62.6,29.8254,89.01961,4429.515,156.2,2356.25,67.45098,1698.392,0.9917685,69.8,23.91938,7.8125,4.686066,21.12662,3.130845,6.747898
57.2549,28.23529,62.6,29.8254,67.05882,3954.08,156.2,1930.25,67.45098,1876.788,0.9936595,69.8,27.16769,7.8125,3.286332,24.85485,2.200654,11.2943
63.52941,27.84314,62.6,29.8254,63.13726,3280.794,156.2,2001.75,67.45098,1583.812,0.993629,68,27.16769,7.8125,3.210921,26.71896,2.146064,12.45022
54.90196,27.05882,62.6,29.8254,58.43137,2870.326,156.2,2157.5,67.45098,1579.461,0.993751,68,26.87239,7.8125,2.713473,29.20445,1.813643,16.10264
65.88235,28.23529,62.6,29.8254,78.03922,3150.862,156.2,1564.5,67.45098,1579.461,0.993446,68,27.46299,7.8125,3.102435,30.44719,2.073365,14.68491
50.19608,22.7451,62.6,29.8254,48.23529,2167.509,156.2,1601.5,67.45098,935.4934,0.9931105,68,28.3489,7.8125,2.092986,32.3113,1.399177,23.09307
53.72549,25.4902,62.6,29.8254,61.17647,2846.702,156.2,1665.75,67.45098,1321.294,0.9928665,68,26.57709,7.8125,2.021544,32.93267,1.351874,24.36075
36.86274,17.64706,62.6,29.8254,36.86274,1494.223,156.2,1675.5,67.45098,681.6774,0.99186,68,20.37577,7.8125,1.4553,34.17542,0.9734471,35.10762
41.56863,23.52941,62.6,29.8254,49.41177,2303.348,156.2,1317.5,67.45098,1276.332,0.9906705,68,28.9395,7.8125,1.674918,34.17542,1.121486,30.47333
74.5098,29.80392,62.6,29.8254,97.25491,2515.965,156.2,1257.25,67.45098,1242.973,0.99552,68,28.9395,7.8125,2.210733,34.79679,1.482033,23.4791
74.11765,23.92157,62.6,29.8254,74.5098,2450.998,159.8,1280.25,83.92157,1013.814,0.9957335,68,28.3489,7.8125,2.511054,36.03953,1.675162,21.51406
41.17647,21.56863,62.6,29.8254,48.23529,2099.59,159.8,1302,83.92157,1044.272,0.99186,68,26.57709,7.8125,1.316385,36.6609,0.8779919,41.7554
40.78431,23.13725,62.6,29.8254,51.37255,2250.194,159.8,1296.25,83.92157,1148.699,0.9919515,68,27.16769,7.8125,1.275372,37.28227,0.8539593,43.65813
43.92157,20,62.6,29.8254,49.41177,2075.966,159.8,1300,83.92157,905.0355,0.9925005,68,22.73818,7.8125,1.411641,37.28227,0.9451147,39.44735
27.05882,11.37255,62.6,29.8254,25.88235,992.2114,159.8,1305.25,83.92157,464.1208,0.9923175,68,12.40264,7.8125,0.510678,37.90364,0.3417174,110.921
