Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
93.586,22.35294,11.76471,87.8,29.8254,41.96078,1060.131,197.6,559.75,67.45098,533.7389,0.9952455,104,14.17445,3.90625,0.2646,0,0,0.1765673,0
94.755,22.35294,11.76471,87.8,29.8254,42.35294,1066.037,197.6,560,67.45098,519.2351,0.9952455,104,14.17445,3.90625,0.29106,0,0,0.194224,0
95.932,22.35294,11.76471,87.8,29.8254,41.56863,1063.084,197.6,557.25,67.45098,513.4336,0.9952455,104,14.17445,3.90625,0.289737,0,0,0.1933412,0
97.14,22.35294,11.76471,87.8,29.8254,41.56863,1054.225,197.6,554.5,67.45098,533.7389,0.9952455,104,14.17445,3.90625,0.273861,0,0,0.1827472,0
97.865,22.35294,11.76471,87.8,29.8254,41.56863,1066.037,197.6,560.5,67.45098,538.09,0.9952455,104,14.46975,3.90625,0.269892,0,0,0.1800987,0
98.926,22.35294,11.76471,87.8,29.8254,41.56863,1060.131,197.6,556.5,67.84314,527.9374,0.9952455,104,14.17445,3.90625,0.2646,0,0,0.1765673,0
99.96,21.96078,11.76471,87.8,29.8254,41.17647,1051.272,197.6,554.75,67.84314,527.9374,0.9952455,104,14.17445,3.90625,0.300321,0,0,0.2004039,0
101.837,21.96078,11.76471,87.8,29.8254,41.56863,1054.225,197.6,561.25,67.84314,509.0825,0.9952455,104,14.17445,3.90625,0.268569,0,0,0.1792158,0
102.949,22.35294,11.76471,87.8,29.8254,41.96078,1074.896,197.6,553.25,67.84314,523.5862,0.9952455,104,14.46975,3.90625,0.279153,0,0,0.1862785,0
104.141,22.35294,11.76471,87.8,29.8254,41.56863,1060.131,197.6,554.25,67.84314,513.4336,0.9952455,104,14.17445,3.90625,0.292383,0,0,0.1951069,0
105.435,22.35294,11.76471,87.8,29.8254,41.56863,1054.225,197.6,558.25,67.84314,509.0825,0.9952455,104,14.17445,3.90625,0.279153,0,0,0.1862785,0
107.155,22.35294,11.76471,87.8,29.8254,41.17647,1068.99,197.6,555.25,67.84314,538.09,0.9952455,105.8,14.46975,3.90625,0.268569,0,0,0.1792158,0
